dataset,zone,regime,model,spike_threshold,blend_weight_mlp,mlp_best_epoch,mae,rmse,smape,n,local_rmse,local_mae,rmse_improvement_pct,mae_improvement_pct
OPSD,DE_LU,all,Local ridge,24.38000000000001,,,3.2166595234854003,5.561837448746384,14.916028603851112,3471,5.561837448746384,3.2166595234854003,0.0,0.0
OPSD,DE_LU,all,GraphPatch ridge,24.38000000000001,,,2.665282663349166,5.067409972062341,12.928835453915841,3471,5.561837448746384,3.2166595234854003,8.889642698843787,17.141287603196236
OPSD,DE_LU,all,GraphPatch MLP,24.38000000000001,,12.0,2.713768723146256,4.94547327066726,13.199345783628736,3471,5.561837448746384,3.2166595234854003,11.08202430867608,15.633945609333205
OPSD,DE_LU,all,Calibrated GraphPatch blend,24.38000000000001,0.2,,2.617416488311489,4.990035548589652,12.70161639907094,3471,5.561837448746384,3.2166595234854003,10.28080927258336,18.62935852547439
OPSD,DE_LU,spike,Local ridge,24.38000000000001,,,7.127301095353007,13.129384977997919,37.7081493421061,251,13.129384977997919,7.127301095353007,0.0,0.0
OPSD,DE_LU,spike,GraphPatch ridge,24.38000000000001,,,6.356363862429932,12.713503061249453,35.52227200444679,251,13.129384977997919,7.127301095353007,3.16756586424571,10.816678327589187
OPSD,DE_LU,spike,GraphPatch MLP,24.38000000000001,,12.0,6.711396999229132,12.393718677750433,36.84880372644217,251,13.129384977997919,7.127301095353007,5.603204578739273,5.83536587776605
OPSD,DE_LU,spike,Calibrated GraphPatch blend,24.38000000000001,0.2,,6.3306021238005945,12.572324577540327,35.10256348082958,251,13.129384977997919,7.127301095353007,4.242852208165943,11.178129854396914
OPSD,DE_LU,non_spike,Local ridge,24.38000000000001,,,2.9118237984733604,4.461862897387577,13.13937571400577,3220,4.461862897387577,2.9118237984733604,0.0,0.0
OPSD,DE_LU,non_spike,GraphPatch ridge,24.38000000000001,,,2.3775617375823113,3.883419506095377,11.167670058206754,3220,4.461862897387577,2.9118237984733604,12.964167761203027,18.348021647846867
OPSD,DE_LU,non_spike,GraphPatch MLP,24.38000000000001,,12.0,2.402152357526131,3.7935065126206684,11.35586319243427,3220,4.461862897387577,2.9118237984733604,14.979312456199212,17.503512445170788
OPSD,DE_LU,non_spike,Calibrated GraphPatch blend,24.38000000000001,0.2,,2.3279725148618726,3.81055981533496,10.955455617231987,3220,4.461862897387577,2.9118237984733604,14.597111050497652,20.051051300480303
OPSD,DK_1,all,Local ridge,16.91,,,3.079688814846483,5.0172018461753085,18.673776546978278,10043,5.0172018461753085,3.079688814846483,0.0,0.0
OPSD,DK_1,all,GraphPatch ridge,16.91,,,2.784397988100762,4.64292963048963,17.727842268923602,10043,5.0172018461753085,3.079688814846483,7.4597799163888965,9.588333253742748
OPSD,DK_1,all,GraphPatch MLP,16.91,,21.0,2.6314992347669586,4.405171586558395,17.635793065903385,10043,5.0172018461753085,3.079688814846483,12.198637375601578,14.553080100784987
OPSD,DK_1,all,Calibrated GraphPatch blend,16.91,0.9,,2.6011901217912663,4.390641304344816,17.371753385128798,10043,5.0172018461753085,3.079688814846483,12.488246657011215,15.537241644301297
OPSD,DK_1,spike,Local ridge,16.91,,,4.667040142368617,7.496485136836957,30.353610887104924,1718,7.496485136836957,4.667040142368617,0.0,0.0
OPSD,DK_1,spike,GraphPatch ridge,16.91,,,4.225892217332093,7.0684369829008205,28.35671315243416,1718,7.496485136836957,4.667040142368617,5.7099846944636985,9.452413340773907
OPSD,DK_1,spike,GraphPatch MLP,16.91,,21.0,3.9360668237988565,6.684235299998859,27.265782877408046,1718,7.496485136836957,4.667040142368617,10.835075665618088,15.662460494688975
OPSD,DK_1,spike,Calibrated GraphPatch blend,16.91,0.9,,3.9114234499106906,6.679217198409365,26.931792407923062,1718,7.496485136836957,4.667040142368617,10.902015057851862,16.190490533780498
OPSD,DK_1,non_spike,Local ridge,16.91,,,2.7521128892389126,4.332413068871958,16.263451574445238,8325,4.332413068871958,2.7521128892389126,0.0,0.0
OPSD,DK_1,non_spike,GraphPatch ridge,16.91,,,2.486922061876206,3.961660175742346,15.534400806116258,8325,4.332413068871958,2.7521128892389126,8.557653373207682,9.635899326645879
OPSD,DK_1,non_spike,GraphPatch MLP,16.91,,21.0,2.362280361739115,3.766954154587588,15.648487060358038,8325,4.332413068871958,2.7521128892389126,13.051823667210929,14.164845091351056
OPSD,DK_1,non_spike,Calibrated GraphPatch blend,16.91,0.9,,2.3308020307751494,3.7482798626210188,15.398882869674077,8325,4.332413068871958,2.7521128892389126,13.482860405160569,15.308632872987829
OPSD,DK_2,all,Local ridge,16.880000000000003,,,3.0940820150099717,5.167137072387582,15.234689966219072,10043,5.167137072387582,3.0940820150099717,0.0,0.0
OPSD,DK_2,all,GraphPatch ridge,16.880000000000003,,,2.7898308201092124,4.795962240458359,14.074902051788026,10043,5.167137072387582,3.0940820150099717,7.183374985593587,9.833326764603518
OPSD,DK_2,all,GraphPatch MLP,16.880000000000003,,9.0,2.763134975572928,4.66145241855625,14.400035952574692,10043,5.167137072387582,3.0940820150099717,9.786553883651278,10.696130155295089
OPSD,DK_2,all,Calibrated GraphPatch blend,16.880000000000003,0.6000000000000001,,2.674583158055514,4.623928079082565,13.841066680029126,10043,5.167137072387582,3.0940820150099717,10.512765303011712,13.55810398429615
OPSD,DK_2,spike,Local ridge,16.880000000000003,,,4.9590709860319135,7.707696072248041,24.614499229160515,1712,7.707696072248041,4.9590709860319135,0.0,0.0
OPSD,DK_2,spike,GraphPatch ridge,16.880000000000003,,,4.504619400287095,7.3818096015178885,22.276188469420276,1712,7.707696072248041,4.9590709860319135,4.228065918472362,9.164046794749673
OPSD,DK_2,spike,GraphPatch MLP,16.880000000000003,,9.0,4.311173645887688,6.9370842940244515,22.629004746427118,1712,7.707696072248041,4.9590709860319135,9.997952319347633,13.06489344413784
OPSD,DK_2,spike,Calibrated GraphPatch blend,16.880000000000003,0.6000000000000001,,4.303711630494099,7.001092126744413,22.26618042752032,1712,7.707696072248041,4.9590709860319135,9.167511781475035,13.215365486474134
OPSD,DK_2,non_spike,Local ridge,16.880000000000003,,,2.7108313706227958,4.46963425416827,13.307162243478016,8331,4.46963425416827,2.7108313706227958,0.0,0.0
OPSD,DK_2,non_spike,GraphPatch ridge,16.880000000000003,,,2.4374459864440414,4.065730590794721,12.389557873779813,8331,4.46963425416827,2.7108313706227958,9.036615535082722,10.084927714111034
OPSD,DK_2,non_spike,GraphPatch MLP,16.880000000000003,,9.0,2.4450168380649617,4.037974322394313,12.709003114370955,8331,4.46963425416827,2.7108313706227958,9.657611948257314,9.805646173290555
OPSD,DK_2,non_spike,Calibrated GraphPatch blend,16.880000000000003,0.6000000000000001,,2.3398012657478846,3.9625588541789303,12.109726536504347,8331,4.46963425416827,2.7108313706227958,11.344896945794915,13.686948915220404
OPSD,GB_GBN,all,Local ridge,17.08,,,3.31831450164859,4.873086948293279,12.696301038864007,10016,4.873086948293279,3.31831450164859,0.0,0.0
OPSD,GB_GBN,all,GraphPatch ridge,17.08,,,3.4866811018275543,4.93646081377647,13.795818705098728,10016,4.873086948293279,3.31831450164859,-1.3004870661170131,-5.07385903582427
OPSD,GB_GBN,all,GraphPatch MLP,17.08,,5.0,4.068064027752696,5.536316800624365,16.04963813431491,10016,4.873086948293279,3.31831450164859,-13.610055789449266,-22.594287724434146
OPSD,GB_GBN,all,Calibrated GraphPatch blend,17.08,0.30000000000000004,,3.474433406254415,4.902399228143462,13.70226962773016,10016,4.873086948293279,3.31831450164859,-0.6015135818672226,-4.70476516099551
OPSD,GB_GBN,spike,Local ridge,17.08,,,7.585819525299678,10.007779850733305,40.0902392630859,767,10.007779850733305,7.585819525299678,0.0,0.0
OPSD,GB_GBN,spike,GraphPatch ridge,17.08,,,7.315199610459282,9.765366137919239,39.2985687162063,767,10.007779850733305,7.585819525299678,2.42225265173378,3.5674446767134946
OPSD,GB_GBN,spike,GraphPatch MLP,17.08,,5.0,7.156691541926919,9.72783139691847,39.142390172574295,767,10.007779850733305,7.585819525299678,2.7973082740656285,5.656975913301954
OPSD,GB_GBN,spike,Calibrated GraphPatch blend,17.08,0.30000000000000004,,7.072766760362567,9.542626686941428,38.23000943765854,767,10.007779850733305,7.585819525299678,4.647915628937356,6.763313617283069
OPSD,GB_GBN,non_spike,Local ridge,17.08,,,2.964419339669957,4.172597051304778,10.424579704884316,9249,4.172597051304778,2.964419339669957,0.0,0.0
OPSD,GB_GBN,non_spike,GraphPatch ridge,17.08,,,3.1691901626859673,4.298986568526495,11.680929608059103,9249,4.172597051304778,2.964419339669957,-3.029037207946915,-6.907619994100041
OPSD,GB_GBN,non_spike,GraphPatch MLP,17.08,,5.0,3.8119306832428435,5.034390329296787,14.134605069838216,9249,4.172597051304778,2.964419339669957,-20.65364250119779,-28.58945535240112
OPSD,GB_GBN,non_spike,Calibrated GraphPatch blend,17.08,0.30000000000000004,,3.1760312349276814,4.298256728322634,11.668236063645923,9249,4.172597051304778,2.964419339669957,-3.011545938243947,-7.13839275118493
